date,stockChange,dollarChange,us10Change,gdpChange
1985-11-21,0.0,0.0,-0.006,0.014356132
1985-11-22,0.05461496341561327,-0.7290686735653864,0.0076,0.014356132
1985-11-25,-0.5805865307545313,0.007897022822399997,0.002,0.014356132
1985-11-26,0.1597164913486376,-0.3711307643714457,0.0,0.014356132
1985-11-27,0.9318757256378648,-0.007925814377431336,-0.0031,0.014356132
1985-11-29,-0.18267750211682326,-0.7767913760304295,-0.0066,0.014356132
1985-12-02,-0.8458183790455268,0.3195398625978522,0.0049,0.014356132
1985-12-03,0.1995380554885406,0.3663003663003727,-0.0005,0.014356132
1985-12-04,1.6777830246052765,-0.4760393525864872,-0.0057,0.014356132
1985-12-05,-0.17137100663704102,0.06377551020408027,-0.0004,0.014356132
1985-12-06,-0.43653128221181603,0.44614404079031417,-0.0001,0.014356132
1985-12-09,0.6207177540588777,0.34898477157360225,-0.0134,0.014356132
1985-12-10,0.0685429620562981,0.4030983243755969,-0.0139,0.014356132
1985-12-11,0.9393801112548654,0.04723293710147389,-0.0175,0.014356132
1985-12-12,0.20357617375382486,-0.4012904241089032,-0.0005,0.014356132
1985-12-13,1.5527528961012471,0.13430241744351534,-0.0064,0.014356132
1985-12-16,0.9907602077664108,-0.5285996055226838,0.0026,0.014356132
1985-12-17,-0.6461701604344879,0.11897208121827862,-0.0134,0.014356132
1985-12-18,-0.3987638376101664,0.7129842351263499,0.0084,0.014356132
1985-12-19,0.10009341880837958,-0.4011641626681279,-0.0011,0.014356132
1985-12-20,0.4380525580791783,-0.14215763702417214,-0.0068,0.014356132
1985-12-23,-1.123539858504405,-0.15026890224612285,0.0047,0.014356132
1985-12-24,-0.6856249470231907,-0.16633663366336138,-0.001,0.014356132
1985-12-26,0.2462078799179697,0.02380196762931365,-0.0043,0.014356132
1985-12-27,0.9438993771413348,-1.1818830808281071,-0.0048,0.014356132
1985-12-30,0.5104680095870108,-0.264890030502487,0.0,0.014356132
1985-12-31,0.284794959149257,-0.5633802816901431,0.001,0.014356132
1986-01-02,-0.7998878303667764,-0.3561311210036404,0.0042,0.008306761
1986-01-03,0.6154916859676822,1.3483876208269,0.0009,0.008306761
1986-01-06,-0.1090719814806484,-0.512943816622586,0.0017,0.008306761
1986-01-07,1.4953757843448992,-0.1933456859743776,-0.0147,0.008306761
1986-01-08,-2.726848418238787,0.8394543546694699,0.0213,0.008306761
1986-01-09,-0.8943597591269836,-1.3447530617145655,0.0158,0.008306761
1986-01-10,-0.07277376123053457,1.0385395537525366,0.0127,0.008306761
1986-01-13,0.3690007643085668,0.2890869669959041,0.011000000000000001,0.008306761
1986-01-14,-0.03870065770752752,0.23220433981904576,-0.0068,0.008306761
1986-01-15,0.7839701934957979,-0.5432177664163659,-0.0119,0.008306761
1986-01-16,0.4369552587379967,0.26506024096385405,-0.0016,0.008306761
1986-01-17,-0.3537816164247401,0.08010894816951737,-0.0064,0.008306761
1986-01-20,-0.4317967808020761,-0.08004482510206397,0.0,0.008306761
1986-01-21,-0.8384358928272448,0.016021789633898918,-0.0021,0.008306761
1986-01-22,-1.1176384072280836,0.12014417300761368,0.0058,0.008306761
1986-01-23,0.3734802601238344,-0.3120000000000005,-0.0053,0.008306761
1986-01-24,1.0673160342717238,-1.1957306797207246,0.0,0.008306761
1986-01-27,0.4650516071082718,-0.3411306042885004,-0.0111,0.008306761
1986-01-28,1.166883172606611,-0.2363488182559137,-0.0089,0.008306761
1986-01-29,0.2287760376414485,-0.14704680990114585,0.0,0.008306761
1986-01-30,-0.4565081706003967,-0.5972347214268215,0.0063,0.008306761
1986-01-31,1.1703993582343846,0.3374485596707791,-0.0037,0.008306761
1986-02-03,1.029373883413777,0.3609219916331701,-0.006999999999999999,0.008306761
1986-02-04,-0.5468377087873159,0.5966489579076453,-0.0062,0.008306761
1986-02-05,0.07989755420499522,-1.0805979850503724,0.0091,0.008306761
1986-02-06,0.2394787674851916,0.3696098562628361,0.0042,0.008306761
1986-02-07,0.5106089824771396,-0.06546644844517045,-0.0001,0.008306761
1986-02-10,0.7830010326528624,-1.072715361939078,0.0015,0.008306761
1986-02-11,-0.14798695551268395,-0.10760698617663723,-0.0121,0.008306761
1986-02-12,0.02315811433083441,-0.3977461054027212,0.0011,0.008306761
1986-02-13,0.6621257551413471,-0.7237936772046627,-0.0075,0.008306761
1986-02-14,1.085557067678686,-0.42738623983910606,-0.0191,0.008306761
1986-02-18,1.2240635516941982,-0.5975425012624085,-0.0031,0.008306761
1986-02-19,-1.2092614233660754,-0.6858013716027451,0.0058,0.008306761
1986-02-20,1.1194057407946043,-0.08525149190110343,-0.0005,0.008306761
1986-02-21,1.080008095220938,-0.042662116040953206,-0.006,0.008306761
1986-02-24,-0.12465453042149345,-0.8109261630388415,-0.0267,0.008306761
1986-02-25,-0.2451649326052299,-0.4733218588640251,0.0,0.008306761
1986-02-26,0.1117118762321066,-0.657155209684397,-0.0064,0.008306761
1986-02-27,1.21853735283771,-0.4700147967621258,-0.0254,0.008306761
1986-02-28,0.0661436686308796,0.6996064713598701,-0.0055,0.008306761
1986-03-03,-0.661025918041829,-0.8076422058185034,-0.0201,0.008306761
1986-03-04,-0.4613579137730317,-0.42024163894239536,-0.0066,0.008306761
1986-03-05,-0.01783091144863721,2.0749076841920164,0.0236,0.008306761
1986-03-06,0.35214808508777795,-0.7149009474590856,-0.01,0.008306761
1986-03-07,0.19544351718021447,-0.17350568231109814,-0.0106,0.008306761
1986-03-10,0.4477523467914029,0.9907013122447212,-0.0244,0.008306761
