,Date,Close_US,Close_SP
0,1985/11/21,127.56,201.41000400000001
1,1985/11/22,126.63,201.520004
2,1985/11/25,126.64,200.350006
3,1985/11/26,126.17,200.669998
4,1985/11/27,126.16,202.53999299999998
5,1985/11/29,125.18,202.169998
6,1985/12/2,125.58,200.46000700000002
7,1985/12/3,126.04,200.860001
8,1985/12/4,125.44,204.229996
9,1985/12/5,125.52,203.880005
10,1985/12/6,126.08,202.990005
11,1985/12/9,126.52,204.25
12,1985/12/10,127.03,204.389999
13,1985/12/11,127.09,206.309998
14,1985/12/12,126.58,206.729996
15,1985/12/13,126.75,209.940002
16,1985/12/16,126.08,212.020004
17,1985/12/17,126.23,210.649994
18,1985/12/18,127.13,209.809998
19,1985/12/19,126.62,210.020004
20,1985/12/20,126.44,210.940002
21,1985/12/23,126.25,208.570007
22,1985/12/24,126.04,207.139999
23,1985/12/26,126.07,207.649994
24,1985/12/27,124.58,209.610001
25,1985/12/30,124.25,210.67999300000002
26,1985/12/31,123.55,211.27999900000003
27,1986/1/2,123.11,209.58999599999999
28,1986/1/3,124.77,210.88000499999998
29,1986/1/6,124.13,210.649994
30,1986/1/7,123.89,213.80000299999998
31,1986/1/8,124.93,207.970001
32,1986/1/9,123.25,206.110001
33,1986/1/10,124.53,205.96000700000002
34,1986/1/13,124.89,206.720001
35,1986/1/14,125.18,206.639999
36,1986/1/15,124.5,208.259995
37,1986/1/16,124.83,209.169998
38,1986/1/17,124.93,208.429993
39,1986/1/20,124.83,207.529999
40,1986/1/21,124.85,205.78999299999998
41,1986/1/22,125.0,203.490005
42,1986/1/23,124.61,204.25
43,1986/1/24,123.12,206.429993
44,1986/1/27,122.7,207.389999
45,1986/1/28,122.41,209.809998
46,1986/1/29,122.23,210.289993
47,1986/1/30,121.5,209.330002
48,1986/1/31,121.91,211.77999900000003
49,1986/2/3,122.35,213.960007
50,1986/2/4,123.08,212.789993
51,1986/2/5,121.75,212.960007
52,1986/2/6,122.2,213.47000099999997
53,1986/2/7,122.12,214.559998
54,1986/2/10,120.81,216.24000499999997
55,1986/2/11,120.68,215.919998
56,1986/2/12,120.2,215.97000099999997
57,1986/2/13,119.33,217.399994
58,1986/2/14,118.82,219.75999500000003
59,1986/2/18,118.11,222.44999700000002
60,1986/2/19,117.3,219.75999500000003
61,1986/2/20,117.2,222.22000099999997
62,1986/2/21,117.15,224.61999500000002
63,1986/2/24,116.2,224.33999599999999
64,1986/2/25,115.65,223.789993
65,1986/2/26,114.89,224.039993
66,1986/2/27,114.35,226.770004
67,1986/2/28,115.15,226.919998
68,1986/3/3,114.22,225.419998
69,1986/3/4,113.74,224.38000499999998
70,1986/3/5,116.1,224.33999599999999
71,1986/3/6,115.27,225.13000499999998
72,1986/3/7,115.07,225.57000699999998
73,1986/3/10,116.21,226.580002
74,1986/3/11,115.75,231.690002
75,1986/3/12,116.1,232.539993
76,1986/3/13,116.9,233.190002
77,1986/3/14,115.5,236.55000299999998
78,1986/3/17,115.0,234.669998
79,1986/3/18,114.35,235.77999900000003
80,1986/3/19,115.62,235.600006
81,1986/3/20,114.88,236.539993
82,1986/3/21,114.67,233.33999599999999
83,1986/3/24,117.39,235.330002
84,1986/3/25,118.62,234.72000099999997
85,1986/3/26,118.7,237.30000299999998
86,1986/3/27,118.22,238.97000099999997
87,1986/3/31,118.08,238.899994
88,1986/4/1,118.37,235.13999900000002
89,1986/4/2,119.25,235.710007
90,1986/4/3,120.38,232.47000099999997
91,1986/4/4,121.1,228.690002
92,1986/4/7,120.7,228.63000499999998
93,1986/4/8,118.55,233.520004
94,1986/4/9,118.85,233.75
95,1986/4/10,117.13,236.440002
96,1986/4/11,117.65,235.97000099999997
97,1986/4/14,117.69,237.27999900000003
98,1986/4/15,117.77,237.729996
99,1986/4/16,115.48,242.22000099999997
100,1986/4/17,114.75,243.02999900000003
101,1986/4/18,112.93,242.38000499999998
102,1986/4/21,113.35,244.74000499999997
103,1986/4/22,112.72,242.419998
104,1986/4/23,112.71,241.75
105,1986/4/24,113.0,242.020004
106,1986/4/25,111.35,242.289993
107,1986/4/28,111.58,243.080002
108,1986/4/29,112.19,240.50999500000003
109,1986/4/30,112.62,235.520004
110,1986/5/1,114.02,235.16000400000001
111,1986/5/2,113.48,234.789993
112,1986/5/5,111.61,237.729996
113,1986/5/6,112.41,237.24000499999997
114,1986/5/7,111.8,236.080002
115,1986/5/8,112.04,237.13000499999998
116,1986/5/9,111.43,237.850006
117,1986/5/12,110.61,237.580002
118,1986/5/13,111.89,236.41000400000001
119,1986/5/14,111.69,237.539993
120,1986/5/15,112.06,234.42999300000002
121,1986/5/16,113.16,232.75999500000003
122,1986/5/19,112.66,233.19999700000002
123,1986/5/20,113.72,236.11000099999998
124,1986/5/21,114.55,235.44999700000002
125,1986/5/22,115.2,240.11999500000002
126,1986/5/23,115.36,241.350006
127,1986/5/27,114.98,244.75
128,1986/5/28,115.8,246.63000499999998
129,1986/5/29,116.79,247.979996
130,1986/5/30,117.65,247.350006
131,1986/6/2,117.65,245.039993
132,1986/6/3,115.72,245.50999500000003
133,1986/6/4,115.38,243.940002
134,1986/6/5,114.16,245.649994
135,1986/6/6,113.5,245.669998
136,1986/6/9,114.45,239.960007
137,1986/6/10,112.88,239.580002
138,1986/6/11,112.98,241.13000499999998
139,1986/6/12,112.57,241.49000499999997
140,1986/6/13,112.69,245.729996
141,1986/6/16,113.35,246.13000499999998
142,1986/6/17,114.2,244.350006
143,1986/6/18,114.23,244.99000499999997
144,1986/6/19,114.25,244.059998
