ID,Date,Close_US,Open_US,High_US,Low_US,Volumn_US,Change_US,Open_SP,High_SP,Low_SP,Close_SP,Adj_Close_SP,Volumn_SP,Change_SP
20,1985/12/20,126.44,126.71,126.94,126.26,0.46K,-0.0014,210.020004,211.770004,210.020004,210.940002,210.940002,"170,300,000",0.004380525580791782
21,1985/12/23,126.25,126.5,126.62,126.05,0.37K,-0.0015,210.57000699999998,210.940002,208.440002,208.570007,208.570007,"107,900,000",-0.011235398585044049
22,1985/12/24,126.04,126.3,126.32,126.0,0.02K,-0.0017,208.570007,208.570007,206.440002,207.139999,207.139999,"78,300,000",-0.006856249470231906
23,1985/12/26,126.07,126.15,126.23,125.8,0.26K,0.0002,207.139999,207.759995,207.050003,207.649994,207.649994,"62,050,000",0.0024620787991796967
24,1985/12/27,124.58,125.23,125.44,124.34,1.02K,-0.0118,207.649994,209.619995,207.649994,209.610001,209.610001,"81,560,000",0.009438993771413346
25,1985/12/30,124.25,124.43,124.6,123.99,0.20K,-0.0026,209.610001,210.69999700000002,209.169998,210.67999300000002,210.67999300000002,"91,970,000",0.005104680095870107
26,1985/12/31,123.55,124.0,124.02,123.5,0.21K,-0.0056,210.67999300000002,211.61000099999998,210.67999300000002,211.27999900000003,211.27999900000003,"112,700,000",0.00284794959149257
27,1986/1/2,123.11,123.63,124.06,122.99,1.59K,-0.0036,211.27999900000003,211.27999900000003,208.929993,209.58999599999999,209.58999599999999,"98,960,000",-0.007998878303667764
28,1986/1/3,124.77,124.75,124.9,124.25,1.07K,0.0135,209.58999599999999,210.88000499999998,209.509995,210.88000499999998,210.88000499999998,"105,000,000",0.006154916859676823
29,1986/1/6,124.13,124.88,124.9,124.05,1.61K,-0.0051,210.88000499999998,210.979996,209.92999300000002,210.649994,210.649994,"99,610,000",-0.001090719814806484
30,1986/1/7,123.89,124.15,124.15,123.5,2.12K,-0.0019,210.649994,213.80000299999998,210.649994,213.80000299999998,213.80000299999998,"153,000,000",0.014953757843448991
31,1986/1/8,124.93,123.87,125.1,123.87,1.71K,0.0084,213.80000299999998,214.57000699999998,207.490005,207.970001,207.970001,"180,300,000",-0.02726848418238787
32,1986/1/9,123.25,124.9,125.36,122.85,2.29K,-0.0134,207.970001,207.970001,204.509995,206.110001,206.110001,"176,500,000",-0.008943597591269836
33,1986/1/10,124.53,124.13,124.9,123.6,1.37K,0.0104,206.110001,207.330002,205.520004,205.96000700000002,205.96000700000002,"122,800,000",-0.0007277376123053456
34,1986/1/13,124.89,125.1,125.62,124.47,1.26K,0.0029,205.96000700000002,206.830002,205.520004,206.720001,206.720001,"108,700,000",0.0036900076430856675
35,1986/1/14,125.18,125.05,125.3,124.68,0.63K,0.0023,206.720001,207.369995,206.059998,206.639999,206.639999,"113,900,000",-0.00038700657707527517
36,1986/1/15,124.5,125.0,125.0,124.35,1.13K,-0.0054,206.639999,208.270004,206.639999,208.259995,208.259995,"122,400,000",0.007839701934957978
37,1986/1/16,124.83,124.25,124.98,124.22,0.50K,0.0027,208.259995,209.179993,207.610001,209.169998,209.169998,"130,500,000",0.004369552587379967
38,1986/1/17,124.93,124.82,124.95,124.4,0.56K,0.0008,209.169998,209.399994,207.58999599999999,208.429993,208.429993,"132,100,000",-0.003537816164247401
39,1986/1/20,124.83,125.15,125.39,124.65,0.42K,-0.0008,208.429993,208.429993,206.619995,207.529999,207.529999,"85,340,000",-0.00431796780802076
